"","Date","Depth","Veg_type","avg_daily_temp"
"66","2022-09-15",0,"M3",1.6244
"67","2022-09-15",0,"M3t",1.5083
"68","2022-09-15",0,"Mz",1.25
"69","2022-09-15",0,"W1",1.6691
"70","2022-09-15",0,"W2",1.7975
"71","2022-09-15",100,"Dz",1.25
"72","2022-09-16",-40,"A1",0.5
"73","2022-09-16",-40,"A1t",-0.0833
"74","2022-09-16",-40,"A2",0.5
"75","2022-09-16",-40,"A3t",-0.125
"76","2022-09-16",-40,"A4t",0.25
"77","2022-09-16",-40,"D1",0.75
"78","2022-09-16",-40,"D2",0.5
"79","2022-09-16",-40,"Dsn",0.5
"80","2022-09-16",-40,"Dz",0
"81","2022-09-16",-40,"L3",0.25
"82","2022-09-16",-40,"M1",0.2083
"83","2022-09-16",-40,"M3",0
"84","2022-09-16",-40,"M3t",0
"85","2022-09-16",-40,"Mz",0
"86","2022-09-16",-40,"W1",0.0333
"87","2022-09-16",-40,"W2",0.636
"88","2022-09-16",-26,"M1",1.007
"89","2022-09-16",-26,"W1",1.529
"90","2022-09-16",-25,"W1",1.068
"91","2022-09-16",-25,"W2",1.56
"92","2022-09-16",-24,"W1",0.7383
"93","2022-09-16",-23,"M1",1.058
"94","2022-09-16",-23,"M3",1.053
"95","2022-09-16",-23,"W1",1.5062
"96","2022-09-16",-21,"W2",1.56
"97","2022-09-16",-20,"L2",1.2755
"98","2022-09-16",-20,"M1",0.567
"99","2022-09-16",-20,"M3",1.509
"100","2022-09-16",-20,"M3t",0.8095
"101","2022-09-16",-20,"W1",1.065
"102","2022-09-16",-19,"M1",1.3235
"103","2022-09-16",-19,"W1",1.555
"104","2022-09-16",-19,"W2",1.026
"105","2022-09-16",-17,"M3t",1.4842
"106","2022-09-16",-15,"A1",1.4167
"107","2022-09-16",-15,"A1t",1.125
"108","2022-09-16",-15,"A2",1
"109","2022-09-16",-15,"A3t",0.875
"110","2022-09-16",-15,"A4t",1.25
"111","2022-09-16",-15,"D1",1.1667
"112","2022-09-16",-15,"D2",1.0833
"113","2022-09-16",-15,"Dsn",0.8333
"114","2022-09-16",-15,"Dz",0.5
"115","2022-09-16",-15,"M1",1.0417
"116","2022-09-16",-15,"M3",1.2083
"117","2022-09-16",-15,"M3t",1
"118","2022-09-16",-15,"Mz",1.1667
"119","2022-09-16",-15,"W1",1.0417
"120","2022-09-16",-15,"W2",1.5556
"121","2022-09-16",-14,"M3t",0.6508
"122","2022-09-16",-12,"M3",0.8015
"123","2022-09-16",-11,"W1",1.6943
"124","2022-09-16",-10,"M1",1.6343
"125","2022-09-16",0,"A1",2.0833
"126","2022-09-16",0,"A1t",1.7083
"127","2022-09-16",0,"A2",2.1667
"128","2022-09-16",0,"A3t",1.5312
"129","2022-09-16",0,"A4t",1.802
"130","2022-09-16",0,"D1",1.6667
"131","2022-09-16",0,"D2",1.3333
"132","2022-09-16",0,"Dsn",1.5
"133","2022-09-16",0,"Dz",1.25
"134","2022-09-16",0,"L2",2.1395
"135","2022-09-16",0,"L3",1.7386
"136","2022-09-16",0,"M1",1.8822
"137","2022-09-16",0,"M3",1.9425
"138","2022-09-16",0,"M3t",1.7033
"139","2022-09-16",0,"Mz",2.0833
"140","2022-09-16",0,"W1",1.8816
"141","2022-09-16",0,"W2",2.1106
"142","2022-09-16",100,"Dz",1.3333
"143","2022-09-17",-40,"A1",0.25
"144","2022-09-17",-40,"A1t",-0.5
"145","2022-09-17",-40,"A2",0.5
"146","2022-09-17",-40,"A3t",-0.125
"147","2022-09-17",-40,"A4t",0.25
"148","2022-09-17",-40,"D1",0.5833
"149","2022-09-17",-40,"D2",0.5
"150","2022-09-17",-40,"Dsn",0.5
"151","2022-09-17",-40,"Dz",0
"152","2022-09-17",-40,"L3",0.25
"153","2022-09-17",-40,"M1",-0.0417
"154","2022-09-17",-40,"M3",0
"155","2022-09-17",-40,"M3t",0
"156","2022-09-17",-40,"Mz",0
"157","2022-09-17",-40,"W1",0
"158","2022-09-17",-40,"W2",0.636
"159","2022-09-17",-26,"M1",1.007
"160","2022-09-17",-26,"W1",1.529
"161","2022-09-17",-25,"W1",1.068
"162","2022-09-17",-25,"W2",1.56
"163","2022-09-17",-24,"W1",0.571
"164","2022-09-17",-23,"M1",1.058
"165","2022-09-17",-23,"M3",1.053
"166","2022-09-17",-23,"W1",1.3385
"167","2022-09-17",-21,"W2",1.56
"168","2022-09-17",-20,"L2",1.3174
"169","2022-09-17",-20,"M1",0.567
"170","2022-09-17",-20,"M3",1.3413
"171","2022-09-17",-20,"M3t",0.8095
"172","2022-09-17",-20,"W1",1.065
"173","2022-09-17",-19,"M1",1.1983
"174","2022-09-17",-19,"W1",1.4715
"175","2022-09-17",-19,"W2",1.026
"176","2022-09-17",-17,"M3t",1.4003
"177","2022-09-17",-15,"A1",1.25
"178","2022-09-17",-15,"A1t",1.0833
"179","2022-09-17",-15,"A2",1
"180","2022-09-17",-15,"A3t",0.75
"181","2022-09-17",-15,"A4t",1.25
"182","2022-09-17",-15,"D1",1.2083
"183","2022-09-17",-15,"D2",1.125
"184","2022-09-17",-15,"Dsn",0.6667
"185","2022-09-17",-15,"Dz",0.5833
"186","2022-09-17",-15,"M1",1.0417
"187","2022-09-17",-15,"M3",1.125
"188","2022-09-17",-15,"M3t",1
"189","2022-09-17",-15,"Mz",1.4167
"190","2022-09-17",-15,"W1",0.9792
"191","2022-09-17",-15,"W2",1.5556
"192","2022-09-17",-14,"M3t",0.7347
"193","2022-09-17",-12,"M3",0.7177
"194","2022-09-17",-11,"W1",1.6945
"195","2022-09-17",-10,"M1",1.7178
"196","2022-09-17",0,"A1",2.1667
"197","2022-09-17",0,"A1t",1.8333
"198","2022-09-17",0,"A2",1.9167
"199","2022-09-17",0,"A3t",1.4893
"200","2022-09-17",0,"A4t",1.8228
"201","2022-09-17",0,"D1",3.0833
"202","2022-09-17",0,"D2",2.2083
"203","2022-09-17",0,"Dsn",2.25
"204","2022-09-17",0,"Dz",2.25
"205","2022-09-17",0,"L2",3.3915
"206","2022-09-17",0,"L3",1.7804
"207","2022-09-17",0,"M1",2.8537
"208","2022-09-17",0,"M3",2.6447
"209","2022-09-17",0,"M3t",2.3027
"210","2022-09-17",0,"Mz",4.6667
"211","2022-09-17",0,"W1",2.489
"212","2022-09-17",0,"W2",2.2357
"213","2022-09-17",100,"Dz",3.9167
"214","2022-09-18",-40,"A1",0.25
"215","2022-09-18",-40,"A1t",-0.3333
"216","2022-09-18",-40,"A2",0.5
"217","2022-09-18",-40,"A3t",-0.125
"218","2022-09-18",-40,"A4t",0.25
"219","2022-09-18",-40,"D1",0.75
"220","2022-09-18",-40,"D2",0.7083
"221","2022-09-18",-40,"Dsn",0.6667
"222","2022-09-18",-40,"Dz",0
"223","2022-09-18",-40,"L3",0.25
"224","2022-09-18",-40,"M1",0.1667
"225","2022-09-18",-40,"M3",0
"226","2022-09-18",-40,"M3t",0
"227","2022-09-18",-40,"Mz",0
"228","2022-09-18",-40,"W1",0
"229","2022-09-18",-40,"W2",0.636
"230","2022-09-18",-26,"M1",1.3423
"231","2022-09-18",-26,"W1",1.529
"232","2022-09-18",-25,"W1",1.068
"233","2022-09-18",-25,"W2",1.56
"234","2022-09-18",-24,"W1",1.073
"235","2022-09-18",-23,"M1",1.56
"236","2022-09-18",-23,"M3",1.053
"237","2022-09-18",-23,"W1",1.59
"238","2022-09-18",-21,"W2",1.56
"239","2022-09-18",-20,"L2",1.7775
"240","2022-09-18",-20,"M1",1.07
"241","2022-09-18",-20,"M3",1.5928
"242","2022-09-18",-20,"M3t",1.0605
"243","2022-09-18",-20,"W1",1.4842
"244","2022-09-18",-19,"M1",1.6587
"245","2022-09-18",-19,"W1",1.555
"246","2022-09-18",-19,"W2",1.026
"247","2022-09-18",-17,"M3t",1.987
"248","2022-09-18",-15,"A1",1.9167
"249","2022-09-18",-15,"A1t",1.3333
"250","2022-09-18",-15,"A2",1.3333
"251","2022-09-18",-15,"A3t",0.875
"252","2022-09-18",-15,"A4t",1.4583
"253","2022-09-18",-15,"D1",2
"254","2022-09-18",-15,"D2",1.7917
"255","2022-09-18",-15,"Dsn",1.4167
"256","2022-09-18",-15,"Dz",1.0833
"257","2022-09-18",-15,"M1",1.5
"258","2022-09-18",-15,"M3",1.5417
"259","2022-09-18",-15,"M3t",1.3333
"260","2022-09-18",-15,"Mz",2.9167
"261","2022-09-18",-15,"W1",1.375
"262","2022-09-18",-15,"W2",1.9444
"263","2022-09-18",-14,"M3t",1.1538
"264","2022-09-18",-12,"M3",1.1367
"265","2022-09-18",-11,"W1",2.3643
"266","2022-09-18",-10,"M1",2.4705
"267","2022-09-18",0,"A1",3.5417
"268","2022-09-18",0,"A1t",2.4583
"269","2022-09-18",0,"A2",3.1667
"270","2022-09-18",0,"A3t",1.6491
"271","2022-09-18",0,"A4t",2.4076
"272","2022-09-18",0,"D1",5.125
"273","2022-09-18",0,"D2",3.3333
"274","2022-09-18",0,"Dsn",4.4167
"275","2022-09-18",0,"Dz",3.75
"276","2022-09-18",0,"L2",4.7277
"277","2022-09-18",0,"L3",2.2268
"278","2022-09-18",0,"M1",4.1186
"279","2022-09-18",0,"M3",3.7486
"280","2022-09-18",0,"M3t",3.2923
"281","2022-09-18",0,"Mz",6.3333
"282","2022-09-18",0,"W1",3.6508
"283","2022-09-18",0,"W2",3.7798
"284","2022-09-18",100,"Dz",6.5
"285","2022-09-19",-40,"A1",0.4167
"286","2022-09-19",-40,"A1t",0
"287","2022-09-19",-40,"A2",0.5
"288","2022-09-19",-40,"A3t",-0.1667
"289","2022-09-19",-40,"A4t",0.25
"290","2022-09-19",-40,"D1",1.2083
"291","2022-09-19",-40,"D2",1.125
"292","2022-09-19",-40,"Dsn",1
"293","2022-09-19",-40,"Dz",0.5
"294","2022-09-19",-40,"L3",0.25
"295","2022-09-19",-40,"M1",0.25
"296","2022-09-19",-40,"M3",0.0417
"297","2022-09-19",-40,"M3t",0
"298","2022-09-19",-40,"Mz",0.5
"299","2022-09-19",-40,"W1",0.15
"300","2022-09-19",-40,"W2",0.657
"301","2022-09-19",-26,"M1",1.51
"302","2022-09-19",-26,"W1",1.529
"303","2022-09-19",-25,"W1",1.571
"304","2022-09-19",-25,"W2",2.062
"305","2022-09-19",-24,"W1",1.4913
"306","2022-09-19",-23,"M1",1.56
"307","2022-09-19",-23,"M3",1.555
"308","2022-09-19",-23,"W1",1.841
"309","2022-09-19",-21,"W2",2.062
"310","2022-09-19",-20,"L2",2.279
"311","2022-09-19",-20,"M1",1.4053
"312","2022-09-19",-20,"M3",2.012
"313","2022-09-19",-20,"M3t",1.3528
"314","2022-09-19",-20,"W1",1.568
"315","2022-09-19",-19,"M1",1.9935
"316","2022-09-19",-19,"W1",2.056
"317","2022-09-19",-19,"W2",1.53
"318","2022-09-19",-17,"M3t",2.5732
"319","2022-09-19",-15,"A1",2.4167
"320","2022-09-19",-15,"A1t",1.5
"321","2022-09-19",-15,"A2",1.8333
"322","2022-09-19",-15,"A3t",1.0625
"323","2022-09-19",-15,"A4t",1.9583
"324","2022-09-19",-15,"D1",2.5833
"325","2022-09-19",-15,"D2",2.25
"326","2022-09-19",-15,"Dsn",1.8333
"327","2022-09-19",-15,"Dz",1.5833
"328","2022-09-19",-15,"M1",1.8333
"329","2022-09-19",-15,"M3",2
"330","2022-09-19",-15,"M3t",1.625
"331","2022-09-19",-15,"Mz",3.0833
"332","2022-09-19",-15,"W1",1.7292
"333","2022-09-19",-15,"W2",2.4722
"334","2022-09-19",-14,"M3t",1.6567
"335","2022-09-19",-12,"M3",1.555
"336","2022-09-19",-11,"W1",2.9503
"337","2022-09-19",-10,"M1",2.8884
"338","2022-09-19",0,"A1",4.4167
"339","2022-09-19",0,"A1t",3.1667
"340","2022-09-19",0,"A2",4.0833
"341","2022-09-19",0,"A3t",1.9903
"342","2022-09-19",0,"A4t",2.972
"343","2022-09-19",0,"D1",4.5833
"344","2022-09-19",0,"D2",3.75
"345","2022-09-19",0,"Dsn",3.6667
"346","2022-09-19",0,"Dz",3.9167
"347","2022-09-19",0,"L2",5.2288
"348","2022-09-19",0,"L3",2.7985
"349","2022-09-19",0,"M1",3.9523
"350","2022-09-19",0,"M3",3.9823
"351","2022-09-19",0,"M3t",3.7242
"352","2022-09-19",0,"Mz",5.1667
"353","2022-09-19",0,"W1",4.1065
"354","2022-09-19",0,"W2",4.5934
"355","2022-09-19",100,"Dz",6.0833
"356","2022-09-20",-40,"A1",0.75
"357","2022-09-20",-40,"A1t",0
"358","2022-09-20",-40,"A2",0.5417
"359","2022-09-20",-40,"A3t",-0.125
"360","2022-09-20",-40,"A4t",0.25
"361","2022-09-20",-40,"D1",1.2917
"362","2022-09-20",-40,"D2",1.25
"363","2022-09-20",-40,"Dsn",1
"364","2022-09-20",-40,"Dz",0.5
"365","2022-09-20",-40,"L3",0.25
"366","2022-09-20",-40,"M1",0.25
"367","2022-09-20",-40,"M3",0.25
"368","2022-09-20",-40,"M3t",0
"369","2022-09-20",-40,"Mz",0.5
"370","2022-09-20",-40,"W1",0.3667
"371","2022-09-20",-40,"W2",0.7617
"372","2022-09-20",-26,"M1",1.9292
"373","2022-09-20",-26,"W1",2.031
"374","2022-09-20",-25,"W1",1.8225
"375","2022-09-20",-25,"W2",2.4812
"376","2022-09-20",-24,"W1",1.575
"377","2022-09-20",-23,"M1",1.8947
"378","2022-09-20",-23,"M3",1.555
"379","2022-09-20",-23,"W1",2.092
"380","2022-09-20",-21,"W2",2.4812
"381","2022-09-20",-20,"L2",2.5715
"382","2022-09-20",-20,"M1",1.573
"383","2022-09-20",-20,"M3",2.1797
"384","2022-09-20",-20,"M3t",1.4783
"385","2022-09-20",-20,"W1",2.071
"386","2022-09-20",-19,"M1",2.1191
"387","2022-09-20",-19,"W1",2.3065
"388","2022-09-20",-19,"W2",1.866
"389","2022-09-20",-17,"M3t",2.7407
"390","2022-09-20",-15,"A1",3
"391","2022-09-20",-15,"A1t",1.9167
"392","2022-09-20",-15,"A2",2.0833
"393","2022-09-20",-15,"A3t",1.25
"394","2022-09-20",-15,"A4t",2.3333
"395","2022-09-20",-15,"D1",2.5
"396","2022-09-20",-15,"D2",2.25
"397","2022-09-20",-15,"Dsn",1.9167
"398","2022-09-20",-15,"Dz",1.8333
"399","2022-09-20",-15,"M1",2.0417
"400","2022-09-20",-15,"M3",2.1667
"401","2022-09-20",-15,"M3t",1.7917
"402","2022-09-20",-15,"Mz",2.75
"403","2022-09-20",-15,"W1",1.9583
"404","2022-09-20",-15,"W2",2.8611
"405","2022-09-20",-14,"M3t",1.6567
"406","2022-09-20",-12,"M3",1.555
"407","2022-09-20",-11,"W1",2.8667
"408","2022-09-20",-10,"M1",2.8468
"409","2022-09-20",0,"A1",4.2917
"410","2022-09-20",0,"A1t",3.25
"411","2022-09-20",0,"A2",4.3333
"412","2022-09-20",0,"A3t",2.2203
"413","2022-09-20",0,"A4t",3.1393
"414","2022-09-20",0,"D1",3.0833
"415","2022-09-20",0,"D2",2.8333
"416","2022-09-20",0,"Dsn",2.75
"417","2022-09-20",0,"Dz",3.3333
"418","2022-09-20",0,"L2",3.9765
"419","2022-09-20",0,"L3",3.119
"420","2022-09-20",0,"M1",2.8022
"421","2022-09-20",0,"M3",3.0954
"422","2022-09-20",0,"M3t",2.8737
"423","2022-09-20",0,"Mz",2.6667
"424","2022-09-20",0,"W1",3.4078
"425","2022-09-20",0,"W2",4.176
"426","2022-09-20",100,"Dz",4.0833
"427","2022-09-21",-40,"A1",0.75
"428","2022-09-21",-40,"A1t",0
"429","2022-09-21",-40,"A2",0.75
"430","2022-09-21",-40,"A3t",-0.125
"431","2022-09-21",-40,"A4t",0.25
"432","2022-09-21",-40,"D1",1.25
"433","2022-09-21",-40,"D2",1.125
"434","2022-09-21",-40,"Dsn",1
"435","2022-09-21",-40,"Dz",0.5
"436","2022-09-21",-40,"L3",0.25
"437","2022-09-21",-40,"M1",0.25
"438","2022-09-21",-40,"M3",0.25
"439","2022-09-21",-40,"M3t",0
"440","2022-09-21",-40,"Mz",0.5
"441","2022-09-21",-40,"W1",0.4
"442","2022-09-21",-40,"W2",0.7826
"443","2022-09-21",-26,"M1",1.6777
"444","2022-09-21",-26,"W1",2.031
"445","2022-09-21",-25,"W1",1.6548
"446","2022-09-21",-25,"W2",2.565
"447","2022-09-21",-24,"W1",1.575
"448","2022-09-21",-23,"M1",1.7273
"449","2022-09-21",-23,"M3",1.4713
"450","2022-09-21",-23,"W1",1.841
"451","2022-09-21",-21,"W2",2.4812
"452","2022-09-21",-20,"L2",2.4462
"453","2022-09-21",-20,"M1",1.2377
"454","2022-09-21",-20,"M3",2.012
"455","2022-09-21",-20,"M3t",1.3528
"456","2022-09-21",-20,"W1",1.9033
"457","2022-09-21",-19,"M1",1.9098
"458","2022-09-21",-19,"W1",2.1395
"459","2022-09-21",-19,"W2",1.866
"460","2022-09-21",-17,"M3t",2.1545
"461","2022-09-21",-15,"A1",2.8333
"462","2022-09-21",-15,"A1t",2
"463","2022-09-21",-15,"A2",2.5
"464","2022-09-21",-15,"A3t",1.375
"465","2022-09-21",-15,"A4t",2.5
"466","2022-09-21",-15,"D1",2.125
"467","2022-09-21",-15,"D2",1.875
"468","2022-09-21",-15,"Dsn",1.5833
"469","2022-09-21",-15,"Dz",1.5833
"470","2022-09-21",-15,"M1",1.7083
"471","2022-09-21",-15,"M3",1.9167
"472","2022-09-21",-15,"M3t",1.625
"473","2022-09-21",-15,"Mz",2.25
"474","2022-09-21",-15,"W1",1.7917
"475","2022-09-21",-15,"W2",2.7222
"476","2022-09-21",-14,"M3t",1.3215
"477","2022-09-21",-12,"M3",1.304
"478","2022-09-21",-11,"W1",2.2805
"479","2022-09-21",-10,"M1",2.3032
"480","2022-09-21",0,"A1",3.9167
"481","2022-09-21",0,"A1t",3.125
"482","2022-09-21",0,"A2",4.25
"483","2022-09-21",0,"A3t",2.4569
"484","2022-09-21",0,"A4t",3.4328
"485","2022-09-21",0,"D1",2.7083
"486","2022-09-21",0,"D2",2.375
"487","2022-09-21",0,"Dsn",2.4167
"488","2022-09-21",0,"Dz",2.75
"489","2022-09-21",0,"L2",3.392
"490","2022-09-21",0,"L3",3.2028
"491","2022-09-21",0,"M1",2.457
"492","2022-09-21",0,"M3",2.6608
"493","2022-09-21",0,"M3t",2.3581
"494","2022-09-21",0,"Mz",2.6667
"495","2022-09-21",0,"W1",2.7471
"496","2022-09-21",0,"W2",3.6126
"497","2022-09-21",100,"Dz",3.0833
"498","2022-09-22",-40,"A1",0.75
"499","2022-09-22",-40,"A1t",0
"500","2022-09-22",-40,"A2",0.75
"501","2022-09-22",-40,"A3t",-0.125
"502","2022-09-22",-40,"A4t",0.25
"503","2022-09-22",-40,"D1",1.25
"504","2022-09-22",-40,"D2",1.0417
"505","2022-09-22",-40,"Dsn",1
"506","2022-09-22",-40,"Dz",0.5
"507","2022-09-22",-40,"L3",0.25
"508","2022-09-22",-40,"M1",0.25
"509","2022-09-22",-40,"M3",0.25
"510","2022-09-22",-40,"M3t",0
"511","2022-09-22",-40,"Mz",0.25
"512","2022-09-22",-40,"W1",0.3833
"513","2022-09-22",-40,"W2",0.7826
"514","2022-09-22",-26,"M1",1.51
"515","2022-09-22",-26,"W1",1.78
"516","2022-09-22",-25,"W1",1.571
"517","2022-09-22",-25,"W2",2.4812
"518","2022-09-22",-24,"W1",1.4077
"519","2022-09-22",-23,"M1",1.56
"520","2022-09-22",-23,"M3",1.2203
"521","2022-09-22",-23,"W1",1.59
"522","2022-09-22",-21,"W2",2.1458
"523","2022-09-22",-20,"L2",2.07
"524","2022-09-22",-20,"M1",1.07
"525","2022-09-22",-20,"M3",2.012
"526","2022-09-22",-20,"M3t",1.311
"527","2022-09-22",-20,"W1",1.568
"528","2022-09-22",-19,"M1",1.7005
"529","2022-09-22",-19,"W1",1.8055
"530","2022-09-22",-19,"W2",1.53
"531","2022-09-22",-17,"M3t",2.0708
"532","2022-09-22",-15,"A1",2.6667
"533","2022-09-22",-15,"A1t",2
"534","2022-09-22",-15,"A2",2.5
"535","2022-09-22",-15,"A3t",1.375
"536","2022-09-22",-15,"A4t",2.4167
"537","2022-09-22",-15,"D1",1.875
"538","2022-09-22",-15,"D2",1.5833
"539","2022-09-22",-15,"Dsn",1.5
"540","2022-09-22",-15,"Dz",1.3333
"541","2022-09-22",-15,"M1",1.5833
"542","2022-09-22",-15,"M3",1.7083
"543","2022-09-22",-15,"M3t",1.5417
"544","2022-09-22",-15,"Mz",1.9167
"545","2022-09-22",-15,"W1",1.6042
"546","2022-09-22",-15,"W2",2.5
"547","2022-09-22",-14,"M3t",1.1538
"548","2022-09-22",-12,"M3",1.053
"549","2022-09-22",-11,"W1",2.1967
"550","2022-09-22",-10,"M1",2.0943
"551","2022-09-22",0,"A1",3.5
"552","2022-09-22",0,"A1t",2.9583
"553","2022-09-22",0,"A2",3.75
"554","2022-09-22",0,"A3t",2.4292
"555","2022-09-22",0,"A4t",3.182
"556","2022-09-22",0,"D1",2
"557","2022-09-22",0,"D2",1.75
"558","2022-09-22",0,"Dsn",1.75
"559","2022-09-22",0,"Dz",1.8333
"560","2022-09-22",0,"L2",2.6405
"561","2022-09-22",0,"L3",3.0911
"562","2022-09-22",0,"M1",2.0076
"563","2022-09-22",0,"M3",2.2096
"564","2022-09-22",0,"M3t",2.0377
"565","2022-09-22",0,"Mz",2
"566","2022-09-22",0,"W1",2.3447
"567","2022-09-22",0,"W2",3.1746
"568","2022-09-22",100,"Dz",1.5833
"569","2022-09-23",-40,"A1",0.75
"570","2022-09-23",-40,"A1t",0
"571","2022-09-23",-40,"A2",0.75
"572","2022-09-23",-40,"A3t",-0.125
"573","2022-09-23",-40,"A4t",0.25
"574","2022-09-23",-40,"D1",0.9167
"575","2022-09-23",-40,"D2",0.7917
"576","2022-09-23",-40,"Dsn",1
"577","2022-09-23",-40,"Dz",0.5
"578","2022-09-23",-40,"L3",0.25
"579","2022-09-23",-40,"M1",0.25
"580","2022-09-23",-40,"M3",0.25
"581","2022-09-23",-40,"M3t",0
"582","2022-09-23",-40,"Mz",0
"583","2022-09-23",-40,"W1",0.1667
"584","2022-09-23",-40,"W2",0.7408
"585","2022-09-23",-26,"M1",1.3423
"586","2022-09-23",-26,"W1",1.529
"587","2022-09-23",-25,"W1",1.4033
"588","2022-09-23",-25,"W2",2.062
"589","2022-09-23",-24,"W1",1.073
"590","2022-09-23",-23,"M1",1.309
"591","2022-09-23",-23,"M3",1.053
"592","2022-09-23",-23,"W1",1.59
"593","2022-09-23",-21,"W2",2.062
"594","2022-09-23",-20,"L2",1.8611
"595","2022-09-23",-20,"M1",1.07
"596","2022-09-23",-20,"M3",1.6767
"597","2022-09-23",-20,"M3t",0.9767
"598","2022-09-23",-20,"W1",1.568
"599","2022-09-23",-19,"M1",1.4911
"600","2022-09-23",-19,"W1",1.722
"601","2022-09-23",-19,"W2",1.53
"602","2022-09-23",-17,"M3t",1.8195
"603","2022-09-23",-15,"A1",2.25
"604","2022-09-23",-15,"A1t",1.8333
"605","2022-09-23",-15,"A2",2
"606","2022-09-23",-15,"A3t",1.375
"607","2022-09-23",-15,"A4t",2.1667
"608","2022-09-23",-15,"D1",1.4167
"609","2022-09-23",-15,"D2",1.25
"610","2022-09-23",-15,"Dsn",1.0833
"611","2022-09-23",-15,"Dz",1
"612","2022-09-23",-15,"M1",1.4583
"613","2022-09-23",-15,"M3",1.5
"614","2022-09-23",-15,"M3t",1.3333
"615","2022-09-23",-15,"Mz",1.5
"616","2022-09-23",-15,"W1",1.4375
"617","2022-09-23",-15,"W2",2.3056
"618","2022-09-23",-14,"M3t",0.9023
"619","2022-09-23",-12,"M3",1.053
"620","2022-09-23",-11,"W1",1.778
"621","2022-09-23",-10,"M1",1.8015
"622","2022-09-23",0,"A1",2.9167
"623","2022-09-23",0,"A1t",2.5417
"624","2022-09-23",0,"A2",2.6667
"625","2022-09-23",0,"A3t",2.2831
"626","2022-09-23",0,"A4t",2.9104
"627","2022-09-23",0,"D1",1.5417
"628","2022-09-23",0,"D2",1.3333
"629","2022-09-23",0,"Dsn",1.5
"630","2022-09-23",0,"Dz",1.5
"631","2022-09-23",0,"L2",2.1395
"632","2022-09-23",0,"L3",2.7425
"633","2022-09-23",0,"M1",1.7043
"634","2022-09-23",0,"M3",1.9254
"635","2022-09-23",0,"M3t",1.759
"636","2022-09-23",0,"Mz",1.3333
"637","2022-09-23",0,"W1",1.8587
"638","2022-09-23",0,"W2",2.4652
"639","2022-09-23",100,"Dz",0.9167
"640","2022-09-24",-40,"A1",0.75
"641","2022-09-24",-40,"A1t",0
"642","2022-09-24",-40,"A2",0.6667
"643","2022-09-24",-40,"A3t",-0.125
"644","2022-09-24",-40,"A4t",0.25
"645","2022-09-24",-40,"D1",0.75
"646","2022-09-24",-40,"D2",0.5417
"647","2022-09-24",-40,"Dsn",0.75
