Plot_ID,Veg_type,Depth,Transect.x,Moist_grad,avg_daily_temp
21A-04,A3t,0,JS,aquatic,-2.6393
21A-09,A3t,0,JS,aquatic,-3.7815
21A-13,A4t,0,JS,aquatic,-2.3675
21A-14,L3,-40,T6,aquatic,-3.4738
21A-14,L3,0,JS,aquatic,-2.0186
21A-15,A3t,-40,T6,aquatic,-2.8895
21A-15,A3t,-15,T6,aquatic,-2.5081
21A-15,A3t,0,JS,aquatic,-1.6352
21A-15,A3t,0,T6,aquatic,-1.7049
21A-16,L3,0,JS,aquatic,-1.8373
21A-18,A3t,-40,T6,aquatic,-4.2583
21A-18,A3t,-15,T6,aquatic,-3.1978
21A-18,A3t,0,JS,aquatic,-2.7704
21A-18,A3t,0,T6,aquatic,-2.64
21A-19,L3,0,JS,aquatic,-2.6336
21A-24,L3,0,T6,aquatic,-1.0418
21A-26,A3t,-40,T6,aquatic,-5.3355
21A-26,A3t,-15,T6,aquatic,-4.6287
21A-26,A3t,0,T6,aquatic,-4.1106
21A-27,L3,-40,T6,aquatic,-4.5255
21A-27,L3,0,T6,aquatic,-3.0008
21A-28,A4t,-40,T6,aquatic,-4.8267
21A-28,A4t,-15,T6,aquatic,-4.2542
21A-28,A4t,0,T6,aquatic,-3.3118
21A-34,A3t,0,T6,aquatic,-3.1969
21A-35,L3,0,T6,aquatic,-2.2926
21A-37,A3t,0,T6,aquatic,-2.9585
22-01,D1,-40,Pingo,dry tundra,-8.1569
22-01,D1,-15,Pingo,dry tundra,-7.9804
22-01,D1,0,Pingo,dry tundra,-7.4696
22-02,D1,-40,Pingo,dry tundra,-7.6615
22-02,D1,-15,Pingo,dry tundra,-7.7186
22-02,D1,0,Pingo,dry tundra,-7.4123
22-04,D2,-40,Pingo,dry tundra,-5.4507
22-04,D2,-15,Pingo,dry tundra,-4.6931
22-04,D2,0,Pingo,dry tundra,-4.3667
22-05,D2,-40,Pingo,dry tundra,-6.874
22-05,D2,-15,Pingo,dry tundra,-6.8201
22-05,D2,0,Pingo,dry tundra,-6.1703
22-08,A1,-40,Lakes,aquatic,-6.2564
22-08,A1,-15,Lakes,aquatic,-5.7074
22-08,A1,0,Lakes,aquatic,-4.838
22-09,A1,-40,Lakes,aquatic,-5.9792
22-09,A1,0,Lakes,aquatic,-4.1397
22-11,A2,-40,Lakes,aquatic,-5.9412
22-12,A2,-40,Lakes,aquatic,-5.9755
22-12,A2,-15,Lakes,aquatic,-5.7887
22-12,A2,0,Lakes,aquatic,-4.8037
22-13,Dz,-40,Pingo,dry tundra,-8.0444
22-13,Dz,-15,Pingo,dry tundra,-8.4051
22-13,Dz,0,Pingo,dry tundra,-7.3877
22-13,Dz,100,Pingo,dry tundra,-8.5816
22-14,Dsn,-40,Pingo,dry tundra,-5.9475
22-14,Dsn,-15,Pingo,dry tundra,-6.0561
22-14,Dsn,0,Pingo,dry tundra,-5.2301
22-15,Mz,-40,T8,moist tundra,-7.6765
22-15,Mz,-15,T8,moist tundra,-7.0468
22-15,Mz,0,T8,moist tundra,-7.9336
