"","Plot_ID","Veg_type","Depth","Transect.x","Moist_grad","avg_daily_temp"
"116","21A-28","A4t",0,"T6","aquatic",-3.3118
"117","21A-34","A3t",0,"T6","aquatic",-3.1969
"118","21A-35","L3",0,"T6","aquatic",-2.2926
"119","21A-37","A3t",0,"T6","aquatic",-2.9585
"120","22-01","D1",-40,"Pingo","dry tundra",-8.1569
"121","22-01","D1",-15,"Pingo","dry tundra",-7.9804
"122","22-01","D1",0,"Pingo","dry tundra",-7.4696
"123","22-02","D1",-40,"Pingo","dry tundra",-7.6615
"124","22-02","D1",-15,"Pingo","dry tundra",-7.7186
"125","22-02","D1",0,"Pingo","dry tundra",-7.4123
"126","22-04","D2",-40,"Pingo","dry tundra",-5.4507
"127","22-04","D2",-15,"Pingo","dry tundra",-4.6931
"128","22-04","D2",0,"Pingo","dry tundra",-4.3667
"129","22-05","D2",-40,"Pingo","dry tundra",-6.874
"130","22-05","D2",-15,"Pingo","dry tundra",-6.8201
"131","22-05","D2",0,"Pingo","dry tundra",-6.1703
"132","22-08","A1",-40,"Lakes","aquatic",-6.2564
"133","22-08","A1",-15,"Lakes","aquatic",-5.7074
"134","22-08","A1",0,"Lakes","aquatic",-4.838
"135","22-09","A1",-40,"Lakes","aquatic",-5.9792
"136","22-09","A1",0,"Lakes","aquatic",-4.1397
"137","22-11","A2",-40,"Lakes","aquatic",-5.9412
"138","22-12","A2",-40,"Lakes","aquatic",-5.9755
"139","22-12","A2",-15,"Lakes","aquatic",-5.7887
"140","22-12","A2",0,"Lakes","aquatic",-4.8037
"141","22-13","Dz",-40,"Pingo","dry tundra",-8.0444
"142","22-13","Dz",-15,"Pingo","dry tundra",-8.4051
"143","22-13","Dz",0,"Pingo","dry tundra",-7.3877
"144","22-13","Dz",100,"Pingo","dry tundra",-8.5816
"145","22-14","Dsn",-40,"Pingo","dry tundra",-5.9475
"146","22-14","Dsn",-15,"Pingo","dry tundra",-6.0561
"147","22-14","Dsn",0,"Pingo","dry tundra",-5.2301
"148","22-15","Mz",-40,"T8","moist tundra",-7.6765
"149","22-15","Mz",-15,"T8","moist tundra",-7.0468
"150","22-15","Mz",0,"T8","moist tundra",-7.9336
