,Date,Veg_type,Depth,avg_daily_temp2
76,9/19/2022,M1,-40,0.25
77,9/19/2022,M1,-15,1.83
78,9/19/2022,M1,0,3.25
79,9/19/2022,M3,-40,0.04
80,9/19/2022,M3,-15,2.00
81,9/19/2022,M3,0,3.92
82,9/19/2022,M3t,-40,0.00
83,9/19/2022,M3t,-15,1.63
84,9/19/2022,M3t,0,2.88
85,9/19/2022,W1,-40,0.06
86,9/19/2022,W1,-15,1.73
87,9/19/2022,W1,0,3.44
88,9/19/2022,W2,-40,0.50
89,9/19/2022,W2,-15,2.47
90,9/19/2022,W2,0,4.25
91,9/20/2022,A1t,-40,0.00
92,9/20/2022,A1t,-15,1.92
93,9/20/2022,A1t,0,3.25
94,9/20/2022,M1,-40,0.25
95,9/20/2022,M1,-15,2.04
96,9/20/2022,M1,0,2.33
97,9/20/2022,M3,-40,0.25
98,9/20/2022,M3,-15,2.17
99,9/20/2022,M3,0,3.25
100,9/20/2022,M3t,-40,0.00
101,9/20/2022,M3t,-15,1.79
102,9/20/2022,M3t,0,2.50
103,9/20/2022,W1,-40,0.33
104,9/20/2022,W1,-15,1.96
105,9/20/2022,W1,0,3.13
106,9/20/2022,W2,-40,0.50
107,9/20/2022,W2,-15,2.86
108,9/20/2022,W2,0,3.94
109,9/21/2022,A1t,-40,0.00
110,9/21/2022,A1t,-15,2.00
111,9/21/2022,A1t,0,3.13
112,9/21/2022,M1,-40,0.25
113,9/21/2022,M1,-15,1.71
114,9/21/2022,M1,0,1.92
115,9/21/2022,M3,-40,0.25
116,9/21/2022,M3,-15,1.92
117,9/21/2022,M3,0,2.75
118,9/21/2022,M3t,-40,0.00
119,9/21/2022,M3t,-15,1.63
120,9/21/2022,M3t,0,1.96
121,9/21/2022,W1,-40,0.38
122,9/21/2022,W1,-15,1.79
123,9/21/2022,W1,0,2.52
124,9/21/2022,W2,-40,0.53
125,9/21/2022,W2,-15,2.72
126,9/21/2022,W2,0,3.44
127,9/22/2022,A1t,-40,0.00
128,9/22/2022,A1t,-15,2.00
129,9/22/2022,A1t,0,2.96
130,9/22/2022,M1,-40,0.25
131,9/22/2022,M1,-15,1.58
132,9/22/2022,M1,0,1.58
133,9/22/2022,M3,-40,0.25
134,9/22/2022,M3,-15,1.71
135,9/22/2022,M3,0,2.21
136,9/22/2022,M3t,-40,0.00
137,9/22/2022,M3t,-15,1.54
138,9/22/2022,M3t,0,1.79
139,9/22/2022,W1,-40,0.35
140,9/22/2022,W1,-15,1.60
141,9/22/2022,W1,0,2.21
142,9/22/2022,W2,-40,0.53
143,9/22/2022,W2,-15,2.50
144,9/22/2022,W2,0,3.00
145,9/23/2022,A1t,-40,0.00
146,9/23/2022,A1t,-15,1.83
147,9/23/2022,A1t,0,2.54
148,9/23/2022,M1,-40,0.25
149,9/23/2022,M1,-15,1.46
150,9/23/2022,M1,0,1.33
151,9/23/2022,M3,-40,0.25
152,9/23/2022,M3,-15,1.50
153,9/23/2022,M3,0,1.88
154,9/23/2022,M3t,-40,0.00
155,9/23/2022,M3t,-15,1.33
156,9/23/2022,M3t,0,1.46
157,9/23/2022,W1,-40,0.08
158,9/23/2022,W1,-15,1.44
159,9/23/2022,W1,0,1.67
160,9/23/2022,W2,-40,0.50
161,9/23/2022,W2,-15,2.31
162,9/23/2022,W2,0,2.33
163,9/24/2022,A1t,-40,0.00
164,9/24/2022,A1t,-15,1.71
165,9/24/2022,A1t,0,2.33
166,9/24/2022,M1,-40,0.25
167,9/24/2022,M1,-15,1.17
168,9/24/2022,M1,0,0.67
169,9/24/2022,M3,-40,0.21
170,9/24/2022,M3,-15,1.38
171,9/24/2022,M3,0,1.38
172,9/24/2022,M3t,-40,0.00
173,9/24/2022,M3t,-15,1.13
174,9/24/2022,M3t,0,1.00
175,9/24/2022,W1,-40,0.02
176,9/24/2022,W1,-15,1.17
177,9/24/2022,W1,0,1.29
178,9/24/2022,W2,-40,0.50
179,9/24/2022,W2,-15,2.03
180,9/24/2022,W2,0,2.00
181,9/25/2022,A1t,-40,0.00
182,9/25/2022,A1t,-15,1.33
183,9/25/2022,A1t,0,1.88
184,9/25/2022,M1,-40,-0.08
185,9/25/2022,M1,-15,1.00
186,9/25/2022,M1,0,0.25
187,9/25/2022,M3,-40,0.00
188,9/25/2022,M3,-15,0.96
189,9/25/2022,M3,0,0.88
190,9/25/2022,M3t,-40,0.00
191,9/25/2022,M3t,-15,1.00
192,9/25/2022,M3t,0,0.54
193,9/25/2022,W1,-40,-0.08
194,9/25/2022,W1,-15,0.83
195,9/25/2022,W1,0,0.71
196,9/25/2022,W2,-40,0.50
197,9/25/2022,W2,-15,1.61
198,9/25/2022,W2,0,1.11
199,9/26/2022,A1t,-40,-0.25
200,9/26/2022,A1t,-15,1.17
201,9/26/2022,A1t,0,1.38
202,9/26/2022,M1,-40,-0.25
203,9/26/2022,M1,-15,0.58
204,9/26/2022,M1,0,-0.50
205,9/26/2022,M3,-40,-0.04
206,9/26/2022,M3,-15,0.75
207,9/26/2022,M3,0,0.17
208,9/26/2022,M3t,-40,0.00
209,9/26/2022,M3t,-15,0.58
210,9/26/2022,M3t,0,-0.04
211,9/26/2022,W1,-40,-0.13
212,9/26/2022,W1,-15,0.56
213,9/26/2022,W1,0,0.13
214,9/26/2022,W2,-40,0.50
215,9/26/2022,W2,-15,1.25
216,9/26/2022,W2,0,0.47
217,9/27/2022,A1t,-40,-0.50
218,9/27/2022,A1t,-15,0.79
219,9/27/2022,A1t,0,0.96
220,9/27/2022,M1,-40,-0.25
221,9/27/2022,M1,-15,0.38
222,9/27/2022,M1,0,-0.50
223,9/27/2022,M3,-40,-0.25
224,9/27/2022,M3,-15,0.29
225,9/27/2022,M3,0,0.13
226,9/27/2022,M3t,-40,0.00
227,9/27/2022,M3t,-15,0.50
228,9/27/2022,M3t,0,-0.25
229,9/27/2022,W1,-40,-0.13
230,9/27/2022,W1,-15,0.15
231,9/27/2022,W1,0,-0.06
232,9/27/2022,W2,-40,0.47
233,9/27/2022,W2,-15,0.89
234,9/27/2022,W2,0,0.19
235,9/28/2022,A1t,-40,-0.50
236,9/28/2022,A1t,-15,0.75
237,9/28/2022,A1t,0,0.79
238,9/28/2022,M1,-40,-0.25
239,9/28/2022,M1,-15,0.00
240,9/28/2022,M1,0,-0.75
241,9/28/2022,M3,-40,-0.25
242,9/28/2022,M3,-15,0.25
243,9/28/2022,M3,0,0.00
244,9/28/2022,M3t,-40,0.00
245,9/28/2022,M3t,-15,0.29
246,9/28/2022,M3t,0,-0.25
247,9/28/2022,W1,-40,-0.21
248,9/28/2022,W1,-15,0.13
249,9/28/2022,W1,0,-0.17
250,9/28/2022,W2,-40,0.19
251,9/28/2022,W2,-15,0.61
252,9/28/2022,W2,0,-0.06
253,9/29/2022,A1t,-40,-0.50
254,9/29/2022,A1t,-15,0.54
255,9/29/2022,A1t,0,0.50
256,9/29/2022,M1,-40,-0.25
257,9/29/2022,M1,-15,0.00
258,9/29/2022,M1,0,-0.50
259,9/29/2022,M3,-40,-0.25
260,9/29/2022,M3,-15,0.25
261,9/29/2022,M3,0,0.00
262,9/29/2022,M3t,-40,0.00
263,9/29/2022,M3t,-15,0.25
264,9/29/2022,M3t,0,-0.25
265,9/29/2022,W1,-40,-0.33
266,9/29/2022,W1,-15,0.13
267,9/29/2022,W1,0,-0.19
268,9/29/2022,W2,-40,0.00
269,9/29/2022,W2,-15,0.50
270,9/29/2022,W2,0,-0.14
271,9/30/2022,A1t,-40,-0.50
272,9/30/2022,A1t,-15,0.25
273,9/30/2022,A1t,0,0.50
274,9/30/2022,M1,-40,-0.25
275,9/30/2022,M1,-15,0.00
276,9/30/2022,M1,0,-0.50
277,9/30/2022,M3,-40,-0.25
278,9/30/2022,M3,-15,0.25
279,9/30/2022,M3,0,0.00
280,9/30/2022,M3t,-40,0.00
281,9/30/2022,M3t,-15,0.25
282,9/30/2022,M3t,0,-0.25
283,9/30/2022,W1,-40,-0.38
284,9/30/2022,W1,-15,0.13
285,9/30/2022,W1,0,-0.13
286,9/30/2022,W2,-40,0.00
287,9/30/2022,W2,-15,0.31
288,9/30/2022,W2,0,-0.17
289,10/1/2022,A1t,-40,-0.50
290,10/1/2022,A1t,-15,0.25
291,10/1/2022,A1t,0,0.29
292,10/1/2022,M1,-40,-0.25
293,10/1/2022,M1,-15,0.00
294,10/1/2022,M1,0,-0.50
295,10/1/2022,M3,-40,-0.25
296,10/1/2022,M3,-15,0.17
297,10/1/2022,M3,0,0.04
298,10/1/2022,M3t,-40,0.00
299,10/1/2022,M3t,-15,0.25
300,10/1/2022,M3t,0,-0.25
301,10/1/2022,W1,-40,-0.40
302,10/1/2022,W1,-15,0.13
303,10/1/2022,W1,0,-0.17
304,10/1/2022,W2,-40,0.00
305,10/1/2022,W2,-15,0.17
306,10/1/2022,W2,0,-0.17
307,10/2/2022,A1t,-40,-0.50
308,10/2/2022,A1t,-15,0.17
309,10/2/2022,A1t,0,0.25
310,10/2/2022,M1,-40,-0.25
311,10/2/2022,M1,-15,0.00
312,10/2/2022,M1,0,-0.92
313,10/2/2022,M3,-40,-0.25
314,10/2/2022,M3,-15,0.04
315,10/2/2022,M3,0,-0.21
316,10/2/2022,M3t,-40,0.00
317,10/2/2022,M3t,-15,0.25
318,10/2/2022,M3t,0,-0.25
319,10/2/2022,W1,-40,-0.40
320,10/2/2022,W1,-15,0.08
321,10/2/2022,W1,0,-0.25
322,10/2/2022,W2,-40,0.00
323,10/2/2022,W2,-15,0.17
324,10/2/2022,W2,0,-0.33
325,10/3/2022,A1t,-40,-0.50
326,10/3/2022,A1t,-15,0.00
327,10/3/2022,A1t,0,0.00
328,10/3/2022,M1,-40,-0.25
329,10/3/2022,M1,-15,0.00
330,10/3/2022,M1,0,-0.92
331,10/3/2022,M3,-40,-0.25
332,10/3/2022,M3,-15,0.00
333,10/3/2022,M3,0,-0.29
334,10/3/2022,M3t,-40,0.00
335,10/3/2022,M3t,-15,0.25
336,10/3/2022,M3t,0,-0.25
337,10/3/2022,W1,-40,-0.44
338,10/3/2022,W1,-15,0.04
339,10/3/2022,W1,0,-0.25
340,10/3/2022,W2,-40,0.00
341,10/3/2022,W2,-15,0.17
342,10/3/2022,W2,0,-0.33
343,10/4/2022,A1t,-40,-0.50
344,10/4/2022,A1t,-15,0.00
345,10/4/2022,A1t,0,0.00
346,10/4/2022,M1,-40,-0.25
347,10/4/2022,M1,-15,0.00
348,10/4/2022,M1,0,-1.08
349,10/4/2022,M3,-40,-0.25
350,10/4/2022,M3,-15,0.00
351,10/4/2022,M3,0,-0.13
352,10/4/2022,M3t,-40,0.00
353,10/4/2022,M3t,-15,0.25
354,10/4/2022,M3t,0,-0.25
355,10/4/2022,W1,-40,-0.44
356,10/4/2022,W1,-15,0.00
357,10/4/2022,W1,0,-0.23
358,10/4/2022,W2,-40,0.00
359,10/4/2022,W2,-15,0.17
360,10/4/2022,W2,0,-0.50
361,10/5/2022,A1t,-40,-0.50
362,10/5/2022,A1t,-15,0.00
363,10/5/2022,A1t,0,0.00
364,10/5/2022,M1,-40,-0.25
365,10/5/2022,M1,-15,0.00
366,10/5/2022,M1,0,-0.50
367,10/5/2022,M3,-40,-0.25
368,10/5/2022,M3,-15,0.00
369,10/5/2022,M3,0,0.00
370,10/5/2022,M3t,-40,0.00
371,10/5/2022,M3t,-15,0.25
372,10/5/2022,M3t,0,-0.25
373,10/5/2022,W1,-40,-0.48
374,10/5/2022,W1,-15,0.02
375,10/5/2022,W1,0,-0.13
376,10/5/2022,W2,-40,0.00
377,10/5/2022,W2,-15,0.17
378,10/5/2022,W2,0,-0.50
379,10/6/2022,A1t,-40,-0.50
380,10/6/2022,A1t,-15,0.00
381,10/6/2022,A1t,0,0.00
382,10/6/2022,M1,-40,-0.25
383,10/6/2022,M1,-15,0.00
384,10/6/2022,M1,0,-0.50
385,10/6/2022,M3,-40,-0.25
386,10/6/2022,M3,-15,0.00
387,10/6/2022,M3,0,0.00
388,10/6/2022,M3t,-40,0.00
389,10/6/2022,M3t,-15,0.25
390,10/6/2022,M3t,0,-0.25
391,10/6/2022,W1,-40,-0.48
392,10/6/2022,W1,-15,0.00
393,10/6/2022,W1,0,-0.13
394,10/6/2022,W2,-40,0.00
395,10/6/2022,W2,-15,0.17
396,10/6/2022,W2,0,-0.50
397,10/7/2022,A1t,-40,-0.50
398,10/7/2022,A1t,-15,0.00
399,10/7/2022,A1t,0,0.00
400,10/7/2022,M1,-40,-0.25
401,10/7/2022,M1,-15,0.00
402,10/7/2022,M1,0,-0.50
403,10/7/2022,M3,-40,-0.25
404,10/7/2022,M3,-15,0.00
405,10/7/2022,M3,0,0.08
406,10/7/2022,M3t,-40,0.00
407,10/7/2022,M3t,-15,0.25
408,10/7/2022,M3t,0,-0.25
409,10/7/2022,W1,-40,-0.46
410,10/7/2022,W1,-15,0.00
411,10/7/2022,W1,0,-0.19
412,10/7/2022,W2,-40,0.00
413,10/7/2022,W2,-15,0.17
414,10/7/2022,W2,0,-0.50
415,10/8/2022,A1t,-40,-0.50
416,10/8/2022,A1t,-15,0.00
417,10/8/2022,A1t,0,0.00
418,10/8/2022,M1,-40,-0.25
419,10/8/2022,M1,-15,0.00
420,10/8/2022,M1,0,-0.75
421,10/8/2022,M3,-40,-0.25
422,10/8/2022,M3,-15,0.00
423,10/8/2022,M3,0,-0.04
424,10/8/2022,M3t,-40,0.00
425,10/8/2022,M3t,-15,0.25
426,10/8/2022,M3t,0,-0.25
427,10/8/2022,W1,-40,-0.48
428,10/8/2022,W1,-15,0.00
429,10/8/2022,W1,0,-0.21
430,10/8/2022,W2,-40,0.00
431,10/8/2022,W2,-15,0.17
432,10/8/2022,W2,0,-0.50
433,10/9/2022,A1t,-40,-0.50
434,10/9/2022,A1t,-15,-0.04
435,10/9/2022,A1t,0,-0.13
436,10/9/2022,M1,-40,-0.25
437,10/9/2022,M1,-15,0.00
438,10/9/2022,M1,0,-0.75
439,10/9/2022,M3,-40,-0.25
440,10/9/2022,M3,-15,0.00
441,10/9/2022,M3,0,-0.04
442,10/9/2022,M3t,-40,0.00
443,10/9/2022,M3t,-15,0.25
444,10/9/2022,M3t,0,-0.25
445,10/9/2022,W1,-40,-0.50
446,10/9/2022,W1,-15,0.00
447,10/9/2022,W1,0,-0.23
448,10/9/2022,W2,-40,0.00
449,10/9/2022,W2,-15,0.17
450,10/9/2022,W2,0,-0.50
451,10/10/2022,A1t,-40,-0.50
452,10/10/2022,A1t,-15,-0.25
453,10/10/2022,A1t,0,-0.25
454,10/10/2022,M1,-40,-0.25
455,10/10/2022,M1,-15,0.00
456,10/10/2022,M1,0,-0.83
457,10/10/2022,M3,-40,-0.25
458,10/10/2022,M3,-15,0.00
459,10/10/2022,M3,0,-0.13
460,10/10/2022,M3t,-40,0.00
461,10/10/2022,M3t,-15,0.25
462,10/10/2022,M3t,0,-0.25
463,10/10/2022,W1,-40,-0.48
464,10/10/2022,W1,-15,0.00
465,10/10/2022,W1,0,-0.27
466,10/10/2022,W2,-40,0.00
467,10/10/2022,W2,-15,0.17
468,10/10/2022,W2,0,-0.50
469,10/11/2022,A1t,-40,-0.50
470,10/11/2022,A1t,-15,-0.25
471,10/11/2022,A1t,0,-0.29
472,10/11/2022,M1,-40,-0.25
473,10/11/2022,M1,-15,0.00
474,10/11/2022,M1,0,-1.58
475,10/11/2022,M3,-40,-0.25
476,10/11/2022,M3,-15,0.00
477,10/11/2022,M3,0,-0.54
478,10/11/2022,M3t,-40,0.00
479,10/11/2022,M3t,-15,0.25
480,10/11/2022,M3t,0,-0.63
481,10/11/2022,W1,-40,-0.48
482,10/11/2022,W1,-15,0.00
483,10/11/2022,W1,0,-0.75
484,10/11/2022,W2,-40,0.00
485,10/11/2022,W2,-15,0.17
486,10/11/2022,W2,0,-0.50
487,10/12/2022,A1t,-40,-0.50
488,10/12/2022,A1t,-15,-0.25
489,10/12/2022,A1t,0,-0.33
490,10/12/2022,M1,-40,-0.25
491,10/12/2022,M1,-15,0.00
492,10/12/2022,M1,0,-1.67
493,10/12/2022,M3,-40,-0.25
494,10/12/2022,M3,-15,0.00
495,10/12/2022,M3,0,-0.83
496,10/12/2022,M3t,-40,0.00
497,10/12/2022,M3t,-15,0.25
498,10/12/2022,M3t,0,-0.96
499,10/12/2022,W1,-40,-0.48
500,10/12/2022,W1,-15,0.00
501,10/12/2022,W1,0,-1.13
502,10/12/2022,W2,-40,0.00
503,10/12/2022,W2,-15,0.17
504,10/12/2022,W2,0,-0.81
505,10/13/2022,A1t,-40,-0.50
506,10/13/2022,A1t,-15,-0.25
507,10/13/2022,A1t,0,-0.50
508,10/13/2022,M1,-40,-0.25
509,10/13/2022,M1,-15,0.00
510,10/13/2022,M1,0,-1.25
511,10/13/2022,M3,-40,-0.25
512,10/13/2022,M3,-15,0.00
513,10/13/2022,M3,0,-0.54
514,10/13/2022,M3t,-40,0.00
515,10/13/2022,M3t,-15,0.25
516,10/13/2022,M3t,0,-0.79
517,10/13/2022,W1,-40,-0.50
518,10/13/2022,W1,-15,0.00
519,10/13/2022,W1,0,-0.83
520,10/13/2022,W2,-40,0.00
521,10/13/2022,W2,-15,0.17
522,10/13/2022,W2,0,-0.94
523,10/14/2022,A1t,-40,-0.50
524,10/14/2022,A1t,-15,-0.25
525,10/14/2022,A1t,0,-0.50
526,10/14/2022,M1,-40,-0.25
527,10/14/2022,M1,-15,0.00
528,10/14/2022,M1,0,-1.08
529,10/14/2022,M3,-40,-0.25
530,10/14/2022,M3,-15,0.00
531,10/14/2022,M3,0,-0.46
532,10/14/2022,M3t,-40,0.00
533,10/14/2022,M3t,-15,0.25
534,10/14/2022,M3t,0,-0.75
535,10/14/2022,W1,-40,-0.48
536,10/14/2022,W1,-15,0.00
537,10/14/2022,W1,0,-0.67
538,10/14/2022,W2,-40,0.00
539,10/14/2022,W2,-15,0.14
540,10/14/2022,W2,0,-0.83
541,10/15/2022,A1t,-40,-0.50
542,10/15/2022,A1t,-15,-0.25
543,10/15/2022,A1t,0,-0.50
544,10/15/2022,M1,-40,-0.25
545,10/15/2022,M1,-15,0.00
546,10/15/2022,M1,0,-1.83
547,10/15/2022,M3,-40,-0.25
548,10/15/2022,M3,-15,0.00
549,10/15/2022,M3,0,-0.75
550,10/15/2022,M3t,-40,0.00
551,10/15/2022,M3t,-15,0.25
552,10/15/2022,M3t,0,-0.92
553,10/15/2022,W1,-40,-0.48
554,10/15/2022,W1,-15,0.00
555,10/15/2022,W1,0,-0.94
556,10/15/2022,W2,-40,0.00
557,10/15/2022,W2,-15,0.17
558,10/15/2022,W2,0,-1.19
559,10/16/2022,A1t,-40,-0.50
560,10/16/2022,A1t,-15,-0.25
561,10/16/2022,A1t,0,-0.50
562,10/16/2022,M1,-40,-0.25
563,10/16/2022,M1,-15,0.00
564,10/16/2022,M1,0,-1.50
565,10/16/2022,M3,-40,-0.25
566,10/16/2022,M3,-15,0.00
567,10/16/2022,M3,0,-0.75
568,10/16/2022,M3t,-40,0.00
569,10/16/2022,M3t,-15,0.25
570,10/16/2022,M3t,0,-0.83
571,10/16/2022,W1,-40,-0.50
572,10/16/2022,W1,-15,0.00
573,10/16/2022,W1,0,-0.88
574,10/16/2022,W2,-40,0.00
575,10/16/2022,W2,-15,0.17
576,10/16/2022,W2,0,-1.19
577,10/17/2022,A1t,-40,-0.50
578,10/17/2022,A1t,-15,-0.25
579,10/17/2022,A1t,0,-0.50
580,10/17/2022,M1,-40,-0.25
581,10/17/2022,M1,-15,0.00
582,10/17/2022,M1,0,-1.25
583,10/17/2022,M3,-40,-0.25
584,10/17/2022,M3,-15,0.00
585,10/17/2022,M3,0,-0.42
586,10/17/2022,M3t,-40,0.00
587,10/17/2022,M3t,-15,0.25
588,10/17/2022,M3t,0,-0.75
589,10/17/2022,W1,-40,-0.50
590,10/17/2022,W1,-15,0.00
591,10/17/2022,W1,0,-0.63
592,10/17/2022,W2,-40,0.00
593,10/17/2022,W2,-15,0.17
594,10/17/2022,W2,0,-0.97
595,10/18/2022,A1t,-40,-0.50
596,10/18/2022,A1t,-15,-0.25
597,10/18/2022,A1t,0,-0.50
598,10/18/2022,M1,-40,-0.25
599,10/18/2022,M1,-15,0.00
600,10/18/2022,M1,0,-1.00
601,10/18/2022,M3,-40,-0.25
602,10/18/2022,M3,-15,0.00
603,10/18/2022,M3,0,-0.25
604,10/18/2022,M3t,-40,0.00
605,10/18/2022,M3t,-15,0.25
606,10/18/2022,M3t,0,-0.63
607,10/18/2022,W1,-40,-0.50
608,10/18/2022,W1,-15,0.00
609,10/18/2022,W1,0,-0.50
610,10/18/2022,W2,-40,0.00
611,10/18/2022,W2,-15,0.17
612,10/18/2022,W2,0,-0.78
613,10/19/2022,A1t,-40,-0.50
614,10/19/2022,A1t,-15,-0.25
615,10/19/2022,A1t,0,-0.50
616,10/19/2022,M1,-40,-0.25
617,10/19/2022,M1,-15,0.00
618,10/19/2022,M1,0,-1.00
619,10/19/2022,M3,-40,-0.25
620,10/19/2022,M3,-15,0.00
621,10/19/2022,M3,0,-0.25
622,10/19/2022,M3t,-40,0.00
623,10/19/2022,M3t,-15,0.25
624,10/19/2022,M3t,0,-0.67
625,10/19/2022,W1,-40,-0.48
626,10/19/2022,W1,-15,0.00
627,10/19/2022,W1,0,-0.48
628,10/19/2022,W2,-40,0.00
629,10/19/2022,W2,-15,0.17
630,10/19/2022,W2,0,-0.78
631,10/20/2022,A1t,-40,-0.50
632,10/20/2022,A1t,-15,-0.25
633,10/20/2022,A1t,0,-0.50
634,10/20/2022,M1,-40,-0.25
635,10/20/2022,M1,-15,0.00
636,10/20/2022,M1,0,-1.08
637,10/20/2022,M3,-40,-0.25
638,10/20/2022,M3,-15,0.00
639,10/20/2022,M3,0,-0.38
640,10/20/2022,M3t,-40,0.00
641,10/20/2022,M3t,-15,0.25
642,10/20/2022,M3t,0,-0.75
643,10/20/2022,W1,-40,-0.50
644,10/20/2022,W1,-15,0.00
645,10/20/2022,W1,0,-0.56
646,10/20/2022,W2,-40,0.00
647,10/20/2022,W2,-15,0.17
648,10/20/2022,W2,0,-0.81
649,10/21/2022,A1t,-40,-0.50
650,10/21/2022,A1t,-15,-0.25
651,10/21/2022,A1t,0,-0.50
652,10/21/2022,M1,-40,-0.25
653,10/21/2022,M1,-15,0.00
654,10/21/2022,M1,0,-1.50
655,10/21/2022,M3,-40,-0.25
656,10/21/2022,M3,-15,0.00
657,10/21/2022,M3,0,-0.50
658,10/21/2022,M3t,-40,0.00
659,10/21/2022,M3t,-15,0.25
660,10/21/2022,M3t,0,-0.75
661,10/21/2022,W1,-40,-0.50
662,10/21/2022,W1,-15,0.00
663,10/21/2022,W1,0,-0.63
664,10/21/2022,W2,-40,0.00
665,10/21/2022,W2,-15,0.17
666,10/21/2022,W2,0,-1.03
667,10/22/2022,A1t,-40,-0.50
668,10/22/2022,A1t,-15,-0.25
669,10/22/2022,A1t,0,-0.50
670,10/22/2022,M1,-40,-0.25
671,10/22/2022,M1,-15,0.00
672,10/22/2022,M1,0,-1.50
673,10/22/2022,M3,-40,-0.25
674,10/22/2022,M3,-15,0.00
675,10/22/2022,M3,0,-0.50
676,10/22/2022,M3t,-40,0.00
677,10/22/2022,M3t,-15,0.25
678,10/22/2022,M3t,0,-0.75
679,10/22/2022,W1,-40,-0.50
680,10/22/2022,W1,-15,0.00
681,10/22/2022,W1,0,-0.63
682,10/22/2022,W2,-40,0.00
683,10/22/2022,W2,-15,0.17
684,10/22/2022,W2,0,-1.42
685,10/23/2022,A1t,-40,-0.50
686,10/23/2022,A1t,-15,-0.25
687,10/23/2022,A1t,0,-0.50
688,10/23/2022,M1,-40,-0.25
689,10/23/2022,M1,-15,0.00
690,10/23/2022,M1,0,-1.67
691,10/23/2022,M3,-40,-0.25
692,10/23/2022,M3,-15,0.00
693,10/23/2022,M3,0,-0.71
694,10/23/2022,M3t,-40,0.00
695,10/23/2022,M3t,-15,0.25
696,10/23/2022,M3t,0,-0.79
697,10/23/2022,W1,-40,-0.50
698,10/23/2022,W1,-15,0.00
699,10/23/2022,W1,0,-0.79
700,10/23/2022,W2,-40,0.00
701,10/23/2022,W2,-15,0.14
702,10/23/2022,W2,0,-1.78
703,10/24/2022,A1t,-40,-0.50
704,10/24/2022,A1t,-15,-0.25
705,10/24/2022,A1t,0,-0.50
706,10/24/2022,M1,-40,-0.25
707,10/24/2022,M1,-15,0.00
708,10/24/2022,M1,0,-2.00
709,10/24/2022,M3,-40,-0.25
710,10/24/2022,M3,-15,0.00
711,10/24/2022,M3,0,-1.00
712,10/24/2022,M3t,-40,0.00
713,10/24/2022,M3t,-15,0.21
714,10/24/2022,M3t,0,-1.25
715,10/24/2022,W1,-40,-0.50
716,10/24/2022,W1,-15,0.00
717,10/24/2022,W1,0,-1.06
718,10/24/2022,W2,-40,0.00
719,10/24/2022,W2,-15,0.17
