Plot_ID,Transect,Surf_Geol,Landform,Surf_Feat,Microrelief,Veg_Type,NDVI,LAI,Biomass,Veg_Ht,Water_Depth,Snow_Depth,Moisture,Moist_gradient
21-12,T6,Qsg,R,LCP2,t,W1,0.6918,1.36,616,21,4,48,Wet tundra,3
21-13,T6,Qsg,R,HCP1,t,W1,0.6237,1.92,315,22,2,61,Wet tundra,3
21-14,T6,Qsg,R,HCP1,t,W1,0.6498,1.74,888,28,14,55,Wet tundra,3
21-16,T6,Qsg,R,TP1,t,W1,0.7049,1,784,26,15,55,Wet tundra,3
21-19,T9,Qti,DLir1,DP,n,W2,0.514,0.68,520,16,1,36,Wet tundra,3
21-23,T9,Qti,DLir1,DP,n,W1,0.5946,0.68,894,14,1,43,Wet tundra,3
21-27,T7,Qti,DLir2,LCP1,b,W1,0.4867,0.73,212,19,0,38,Wet tundra,3
21-28,T7,Qti,DLir2,LCP1,b,W2,0.5626,1.01,241,25,8,42,Wet tundra,3
21-29,T7,Qti,DLir2,LCP1,b,W1,0.5867,1.02,649,23,2,35,Wet tundra,3
21-33,T7,Qti,DLir2,LCP2,b,W2,0.5984,0.72,286,26,11,46,Wet tundra,3
21-31,T7,Qti,DLir2,LCP2,t,A1t,0.5374,0.56,479,24,17,44,Aquatic,4
21-32,T7,Qti,DLir2,LCP1,t,A1t,0.6633,1.27,564,26,9,74,Aquatic,4
21-25,T7,Qti,L2,L2,n,L2,0.1963,0.15,18,11,0,40,Aquatic,4
21-26,T7,Qti,L2,L2,n,L2,0.3093,0.15,32,11,0,37,Aquatic,4
21-35,T7,Qti,DLir2,LCP2,t,A1t,0.6174,0.87,322,28,22,38,Aquatic,4
21A-22,T6,Qau,L3,L3,n,A4t,-0.1467,0,167,0,51,89,Aquatic,4
21A-26,T6,Qau,L3,L3,n,A3t,0.2122,0.03,4702,1,48,60,Aquatic,4
21A-27,T6,Qau,L3,L3,n,L3,-0.2095,0,486,0,53,54,Aquatic,4
21A-28,T6,Qau,L3,L3,n,A4t,-0.1436,0.26,396,7,40,59,Aquatic,4
21A-29,T6,Qau,L3,L3,n,A3t,-0.2467,0,6074,0,52,60,Aquatic,4
21A-35,T6,Qau,L3,L3,n,L3,-0.3046,0,154,0,53,93,Aquatic,4
21A-36,T6,Qau,L3,L3,n,A3t,0.5983,0.27,3735,2,35,90,Aquatic,4
21A-38,T6,Qau,L3,L3,n,L3,-0.3215,0,86,0,62,70,Aquatic,4
21A-40,T6,Qau,L3,L3,n,A4t,-0.1405,0,84,0,57,56,Aquatic,4
22-07,LP,Qti,L2,L2,n,A1,0.4513,0.75,199,26,4,45,Aquatic,4
22-08,LP,Qti,L2,L2,n,A1,0.4325,0.27,140,31,10,34,Aquatic,4
22-09,LP,Qti,L2,L2,n,A1,0.3704,0.27,464,31,20,37,Aquatic,4
22-10,LP,Qti,L2,L2,n,A2,0.0872,0.11,158,19,60,47,Aquatic,4
22-11,LP,Qti,L2,L2,n,A2,0.3741,0.34,1178,24,40,39,Aquatic,4
22-12,LP,Qti,L2,L2,n,A2,0.4095,0.5,907,20,24,44,Aquatic,4
