Field name,Accepted name,Taxon code,Plant growth form
Cinclidium arcticum,Cinclidium arcticum Schimp.,CINARC,Acrocarpous moss
Cinclidium latifolium,Cinclidium latifolium Lindb.,CINLAT,Acrocarpous moss
Cinclidium sp.,Cinclidium sp.,CINCSP,Acrocarpous moss
Cinclidium stygium,Cinclidium stygium Swartz,CINSTY,Acrocarpous moss
Cirriphyllum cirrosum,Cirriphyllum cirrosum (Schwaegr.) Grout,CIRCIR,Pleurocarpous moss
Cladonia pyxidata,Cladonia pyxidata (L.) Hoffm.,CLAPYX,Fruticose lichen
Dactylina arctica,Dactylina arctica (Richardson) Nyl.,DACARC,Fruticose lichen
Dactylina madreporiformis,Allocetraria madreporiformis (Ach.) Karnefelt & Thell,DACMAD,Fruticose lichen
Dicranum elongatum,Dicranum elongatum Schleich. ex Schwaegr.,DICELO,Acrocarpous moss
Distichium capillaceum,Distichium capillaceum (Hedw.) Bruch & Schimp.,DISCAP,Acrocarpous moss
Distichium inclinatum,Distichium inclinatum (Hedw.) B.S.G.,DISINC,Acrocarpous moss
Ditrichum flexicaule,Ditrichum flexicaule (Schwaegr.) Hampe,DITFLE,Acrocarpous moss
Drepanocladus brevifolius,Drepanocladus brevifolius (Lindb.) Warnst.,DREBRE,Pleurocarpous moss
Drepanocladus sp.,Drepanocladus sp.,DREPSP,Pleurocarpous moss
Dryas integrifolia,Dryas integrifolia Vahl,DRYINT,Evergreen and summer green dwarf shrub
Dupontia fisheri,Dupontia fisheri R. Br.,DUPFIS,Grass
Encalypta rhabdocarpa,Encalypta rhaptocarpa Schwaegr.,ENCRHA,Acrocarpous moss
Encalypta sp.,Encalypta sp.,ENCASP,Acrocarpous moss
Equisetum scirpoides,Equisetum scirpoides Michx.,EQUSCI,Horsetail
Equisetum variegatum,Equisetum variegatum Schleich. ex Weber & Mohr,EQUVAR,Horsetail
Eriophorum angustifolium s. l.,Eriophorum angustifolium s.l.  Honck.,ERIANG,Wet to moist nontussock sedge
Eriophorum scheuchzeri,Eriophorum scheuchzeri Hoppe,ERISCH,Wet to moist nontussock sedge
Eutrema edwardsii,Eutrema edwardsii R. Br.,EUTEDW,Low erect forb
Fissidens sp.,Fissidens sp.,FISSSP,Acrocarpous moss
Flavocetraria cucullata,Flavocetraria cucullata (Bell.) Karnefelt & Thell,FLACUC,Fruticose lichen
Flavocetraria nivalis,Flavocetraria nivalis (L.) Karnefelt & Thell,FLANIV,Fruticose lichen
Hamatocaulis vernicosus,Hamatocaulis vernicosus (Mitt.) Hedenas,HAMVER,Pleurocarpous moss
Hierochloe pauciflora,Hierochloe pauciflora R. Br.,HIEPAU,Grass
Hypnum procerrimum,Hypnum procerrimum Molendo,HYPPRO,Pleurocarpous moss
Hypnum sp.,Hypnum sp.,HYPNSP,Pleurocarpous moss
Juncus triglumis,Juncus triglumis L.,JUNTRI,Rush
Lecanora epibryon,Lecanora epibryon (Ach.) Ach.,LECEPI,Crustose lichen
Lophozia sp.,Lophozia sp.,LOPHSP,Leafy liverwort
Masonhalea richardsonii,Masonhalea richardsonii (Hook.) Karnefelt,MASRIC,Foliose lichen
Meesia triquetra,Meesia triquetra (H. Richter) Aongstr.,MEETRI,Acrocarpous moss
Meesia uliginosa,Meesia uliginosa Hedw.,MEEULI,Acrocarpous moss
Minuartia arctica,Minuartia arctica (Steven ex Ser.) Graebn.,MINARC,"Cushion, mat, or rosette forb"
Mnium sp.,Mnium sp.,MNIUSP,Acrocarpous moss
Nostoc commune,Nostoc commune Vaucher ex Bornet & Flahault,NOSCOM,Alga and cyanobacteria
Nostoc sp.,Nostoc sp.,NOSTSP,Alga
Orthothecium chryseum,Orthothecium chryseum (Schwaegr.) B.S.G.,ORTCHR,Pleurocarpous moss
Papaver macounii,Papaver macounii Greene,PAPMAC,Low erect forb
Pedicularis albolabiata,Pedicularis albolabiata (Hultén) Kozhevn.,PEDALB,Low erect forb
Pedicularis capitata,Pedicularis capitata Adams,PEDCAP,Low erect forb
Pedicularis lanata,Pedicularis lanata Willd. ex Cham. & Schltdl.,PEDLAN,Low erect forb
Peltigera aphthosa,Peltigera aphthosa (L.) Willd.,PELAPH,Foliose lichen
Peltigera species,Peltigera sp.,PELTSP,Foliose lichen
Philonotis fontana,Philonotis fontana (Hedw.) Brid.,PHIFON,Acrocarpous moss
Polygonum viviparum,Bistorta vivipara (L.) Delarbre,POLVIV,Low erect forb
Pyrola secunda,Orthilia secunda (L.) House,PYRSEC,Low erect forb
Salix arctica,Salix arctica Pall.,SALARC,Deciduous dwarf shrub
Salix lanata s. l.,Salix lanata L.,SALLAN,Deciduous dwarf shrub
Salix ovalifolia,Salix ovalifolia Trautv.,SALOVA,Deciduous dwarf shrub
Salix reticulata,Salix reticulata L.,SALRET,Deciduous dwarf shrub
Sanionia uncinata,Sanionia uncinata (Hedw.) Loeske,SANUNC,Pleurocarpous moss
Saxifraga hirculus,Saxifraga hirculus L.,SAXHIR,"Cushion, mat and rosette forb"
Saxifraga oppositifolia,Saxifraga oppositifolia L.,SAXOPP,"Cushion, mat and rosette forb"
Scorpidium scorpioides,Scorpidium scorpioides (Hedw.) Limpr.,SCOSCO,Pleurocarpous moss
Senecio atropurpureus ssp. frigidus,Tephroseris frigida (Richardson) Holub,SENATRFRI,Low erect forb
Solorina sp.,Solorina sp.,SOLOSP,Foliose lichen
Stereocaulon alpinum,Stereocaulon alpinum Laur.,STEALP,Fruticose lichen
Stereocaulon sp.,Stereocaulon sp.,STERSP,Fruticose lichen
Thamnolia subuliformis s. l.,Thamnolia subuliformis s.l.  (Sw.) Schaer.,THASUB,Fruticose lichen
Tomentypnum nitens,Tomentypnum nitens (Hedw.) Loeske,TOMNIT,Pleurocarpous moss
Unknown bryophytes,Unknown bryophyte (including mosses and liverworts),UNKBRY,Bryophyte
Unknown crustose lichen,Unknown crustose lichen,UNKCRU,Crustose lichen
Unknown dicot,Unknown/unidentified forb,UNKDIC,Forb
Unknown graminoid,Unknown graminoid,UNKGRAM,Graminoid
