Plot ID,Vegetation type code,Microrelief,Habitat type code,Field name (description) of plant community
21-19,M2,HC,5.06.1.2,"Wet Eriophorum angustifolium,  Drepanocladus brevifolius graminoid, moss tundra"
21-20,U3,HC,1.02.2,"Moist Carex membranacea, Dryas integrifolia, Tomentypnum nitens, Thamnolia subuliformis graminoid, prostrate dwarf-shrub, moss, lichen tundra"
21-21,U3,HC,1.02.2,"Moist Dryas integrifolia, Carex membranacea,  Tomentypnum nitens, Thamnolia subuliformis prostrate dwarf-shrub,  graminoid, moss, lichen tundra"
21-22,U3,HC,1.02.2,"Moist Eriophorum triste, Dryas integrifolia, Tomentypnum nitens, Thamnolia subuliformis graminoid, prostrate dwarf-shrub, moss, lichen tundra"
21-23,M2,HC,5.06.1.2,"Wet Eriophorum angustifolium,  Drepanocladus brevifolius graminoid, moss tundra"
21-24,U3,S,1.02.2,"Moist Eriophorum triste, Dryas integrifolia,   Tomentypnum nitens, Thamnolia subuliformis graminoid, prostrate dwarf-shrub, moss, lichen tundra"
21-25,M4-MARL,P,5.06.1.1,Aquatic Carex aquatilis marl tundra
21-26,M4-MARL,P,5.06.1.1,Aquatic Carex aquatilis marl tundra
21-27,M2,LC,5.06.1.2,"Wet Eriophorum angustifolium,  Drepanocladus brevifolius graminoid, moss tundra"
21-28,M4,T,5.06.1.2,"Aquatic Eriophorum angustifolium, Carex aquatilis, Scorpidium scropioides  graminoid, moss tundra"
21-29,M2,LC,5.06.1.2,"Wet Eriophorum angustifolium, Carex aquatilis, Drepanocladus brevifolius  graminoid, moss tundra"
21-30,U4,LC,1.02.2,"Moist Eriophorum triste, Salix reticulata, Dryas integrifolia, Tomentypnum nitens,  graminoid, prostrate dwarf-shrub, moss tundra"
21-31,M4/E1,T,5.06.1.2,"Aquatic  Carex aquatilis, Calliergon giganteum graminoid, moss tundra"
21-32,M4,T,5.06.1.2,"Aquatic  Carex aquatilis, Drepanocladus sp. graminoid, moss tundra"
21-33,M4,LC,5.06.1.2,"Aquatic  Carex aquatilis, Eriophorum angustifolium, Drepanocladus brevifolius, Scorpidium scorpioides  graminoid, moss tundra"
21-34,U4,LC,1.02.2,"Moist Eriophorum triste, Salix reticulata, Dryas integrifolia, Tomentypnum nitens,  graminoid, prostrate dwarf-shrub, moss tundra"
21-35,M4/E1,T,5.06.1.2,"Aquatic  Carex aquatilis, Calliergon giganteum graminoid, moss tundra"
,,,,
,,,,
,,,,
,,,,
,,,,
Column headings: ,,,,
"Vegetation type: Modified from Walker 1980, 1985; Watson-Cook 2022. See Table A4.7 for descriptions. Habitat type: After Mucina et al. 2014. See Table A4.6 for descriptions. Microrelief: See Table A4.7 for definitions. ",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
